query_id,chunk_id,primary_cause,first_failure_stage,confidence,diagnostic_note
"q-001","dga-2025-page-3-pass-0-ba481231","base_candidate_recall_failure","S1","high","Required chunk dga-2025-page-3-pass-0-ba481231 did not enter the S1 BM25 candidate retrieval pool."
"q-005","dga-2025-page-4-pass-0-567ec170","compatibility_expansion_failure","S7","high","Chunk dga-2025-page-4-pass-0-567ec170 was added by compatibility expansion but score was insufficient for top-3 (rank 4)."
"q-006","dga-2025-page-6-pass-0-765dd278","boost_misranking","S6","high","Required chunk dga-2025-page-6-pass-0-765dd278 passed policy filter (base rank 9) but score was insufficient to elevate into top-3 (final rank 8)."
"q-011","dga-2025-page-9-pass-0-b67ed68f","base_candidate_recall_failure","S1","high","Required chunk dga-2025-page-9-pass-0-b67ed68f did not enter the S1 BM25 candidate retrieval pool."
"q-012","dga-2020-page-7-pass-0-f9b0e522","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2020-page-7-pass-0-f9b0e522: Filtered by scope"
"q-013","dga-2015-page-15-pass-0-8effd6bb","base_candidate_recall_failure","S1","high","Required chunk dga-2015-page-15-pass-0-8effd6bb did not enter the S1 BM25 candidate retrieval pool."
"q-015","dga-2020-page-7-pass-0-f9b0e522","base_candidate_recall_failure","S1","high","Required chunk dga-2020-page-7-pass-0-f9b0e522 did not enter the S1 BM25 candidate retrieval pool."
"q-016","dga-2015-page-44-pass-0-b82f56fd","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2015-page-44-pass-0-b82f56fd: Filtered by scope"
"q-018","dga-2020-page-8-pass-0-d50d372b","base_candidate_recall_failure","S1","high","Required chunk dga-2020-page-8-pass-0-d50d372b did not enter the S1 BM25 candidate retrieval pool."
"q-019","dga-2015-page-15-pass-0-8effd6bb","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2015-page-15-pass-0-8effd6bb: Filtered by scope"
"q-021","dga-2025-page-5-pass-0-99883976","boost_misranking","S6","high","Required chunk dga-2025-page-5-pass-0-99883976 passed policy filter (base rank 6) but boost weight/score was insufficient to elevate or maintain in top-3 (final rank 4)."
"q-021","dga-2015-page-50-pass-2-28e6e56b","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2015-page-50-pass-2-28e6e56b: Filtered by scope"
"q-022","dga-2015-page-50-pass-2-28e6e56b","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2015-page-50-pass-2-28e6e56b: Filtered by scope"
"q-024","dga-2025-page-4-pass-0-567ec170","base_candidate_recall_failure","S1","high","Required chunk dga-2025-page-4-pass-0-567ec170 did not enter the S1 BM25 candidate retrieval pool."
"q-025","dga-2015-page-51-pass-0-df0a0dd2","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2015-page-51-pass-0-df0a0dd2: Filtered by scope"
"q-027","dga-2025-page-6-pass-0-765dd278","boost_misranking","S6","high","Required chunk dga-2025-page-6-pass-0-765dd278 passed policy filter (base rank 14) but score was insufficient to elevate into top-3 (final rank 11)."
"q-027","dga-2020-page-8-pass-0-d50d372b","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2020-page-8-pass-0-d50d372b: Filtered by scope"
"q-028","dga-2015-page-15-pass-0-8effd6bb","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2015-page-15-pass-0-8effd6bb: Filtered by scope"
"q-030","dga-2025-page-4-pass-0-567ec170","compatibility_expansion_failure","S7","high","Chunk dga-2025-page-4-pass-0-567ec170 was added by compatibility expansion but score was insufficient for top-3 (rank 9)."
"q-030","dga-2020-page-16-pass-0-5be4fdc2","boost_misranking","S6","high","Required chunk dga-2020-page-16-pass-0-5be4fdc2 passed policy filter (base rank 6) but boost weight/score was insufficient to elevate or maintain in top-3 (final rank 6)."
"q-031","dga-2015-page-15-pass-0-8effd6bb","base_candidate_recall_failure","S1","high","Required chunk dga-2015-page-15-pass-0-8effd6bb did not enter the S1 BM25 candidate retrieval pool."
"q-032","dga-2025-page-6-pass-0-765dd278","unresolved","S1","medium","Test split artifact lacks full S1-S9 stage trace; post-hoc observational analysis only."
"q-034","dga-2015-page-15-pass-0-8effd6bb","unresolved","S1","medium","Test split artifact lacks full S1-S9 stage trace; post-hoc observational analysis only."
"q-037","dga-2015-page-44-pass-0-b82f56fd","scope_resolution_failure","S4","high","Scope resolution failed for chunk dga-2015-page-44-pass-0-b82f56fd: Filtered by scope"
"q-039","dga-2025-page-4-pass-0-567ec170","unresolved","S1","medium","Test split artifact lacks full S1-S9 stage trace; post-hoc observational analysis only."
"q-039","dga-2020-page-19-pass-0-ce63b99c","unresolved","S1","medium","Test split artifact lacks full S1-S9 stage trace; post-hoc observational analysis only."
"q-040","dga-2015-page-15-pass-0-8effd6bb","unresolved","S1","medium","Test split artifact lacks full S1-S9 stage trace; post-hoc observational analysis only."
